UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3C12,F3C12,XF3C121,F3C121,XF3C122,F3C122,XF3C13,F3C13,XF3C131,F3C131,XF3C132,F3C132,XF3C14,F3C14,XF3C141,F3C141,XF3C142,F3C142,XF3C15,F3C15,XF3C151,F3C151,XF3C152,F3C152,XF3C16,F3C16,XF3C161,F3C161,XF3C162,F3C162,XF3C17,F3C17,XF3C171,F3C171,XF3C172,F3C172,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03,XF3G01,F3G01,XF3G02,F3G02,XF3G03,F3G03,XF3G04,F3G04,XF3G05,F3G05,XF3G06,F3G06,XF3G07,F3G07   
101116,"R",2379172,"R",0,"R",1353035,"R",0,"R",379557,"R",0,"R",1999615,"R",2379172,"R",0,"R",1231560,"R",411680,"R",0,"R",134740,"R",1777980,"R",424945,"R",1353035,"R",6308243,"R",6424459,"R",0,"R",-116216,"R",-605168,"R",2721000,"R",-1,"R",1999615,"R",1121559,"R",934353,"R",90774,"R",90774,"R",0,"R",404616,"R",2551302,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4000494,"R",2055912,"R",0,"R",2055912,"R",90774,"R",0,"R",90774,"R",0,"R",0,"R",0,"R",0,"R",0,"R",161063,"R",0,"R",0,"R",6308243,"R",2014611,"R",1538566,"R",0,"R",0,"R",0,"R",0,"R",236199,"R",220975,"R",782416,"R",693560,"R",3259471,"R",205786,"R",131762,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6424459,"R",2658887,"R",127750,"R",1597345,"R",424946,"R",0,"R",1615531,"R",0,"R",0, 3,"R",-116216,"R",6308243,"R",1999615,"R",2379172,"R",646580,"R",0,"R",6424459
101277,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",400787,"R",0,"R",0,"R",0,"R",0,"R",0,"R",400787,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",685311,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",115672,"A",,"A",,"R",0,"R",800983,"R",272199,"R",272199,"R",0,"R",0,"R",0,"R",0,"R",11052,"R",11052,"R",19614,"R",19614,"R",203623,"R",203623,"A",,"A",,"R",0,"A",,"A",,"R",199667,"R",0,"R",706155,"R",506488,"R",8383,"R",128109,"R",9287,"R",0,"R",53888,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
102845,"R",43746141,"R",0,"R",2209461,"R",2778553,"R",4757682,"R",0,"R",38988459,"R",43746141,"R",0,"R",9137066,"R",7985440,"R",0,"R",0,"R",17122506,"R",14913045,"R",2209461,"R",46512931,"R",46262511,"R",-418373,"R",-167953,"R",0,"R",39156412,"R",0,"R",38988459,"R",13311302,"R",799577,"R",2007796,"R",1511106,"R",496690,"R",6772187,"R",22890862,"R",6772187,"R",0,"R",6772187,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",6772187,"R",6772187,"R",0,"R",46352107,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",160824,"R",0,"R",0,"R",0,"R",0,"R",46512931,"R",15378362,"R",7027906,"R",0,"R",0,"R",0,"R",0,"R",2442763,"R",1786585,"R",17787198,"R",8050920,"R",9738479,"R",3597527,"R",0,"R",0,"R",0,"R",0,"R",0,"R",915709,"R",92741,"R",46262511,"R",20555679,"R",3341752,"R",5143238,"R",1125016,"R",0,"R",16096826,"R",0,"R",0, 1,"R",-167953,"R",46512931,"R",38988459,"R",43746141,"R",34000445,"R",0,"R",46262511
103501,"R",5278741,"R",2052326,"R",2546546,"R",0,"R",2036806,"R",734094,"R",3241935,"R",5278741,"R",450000,"R",2775507,"R",638236,"R",0,"R",967713,"R",4831456,"R",2284910,"R",2546546,"R",4994777,"R",4608906,"R",0,"R",385871,"R",0,"R",3024012,"R",-167948,"R",3241935,"R",1190935,"R",322729,"R",557377,"R",557377,"R",0,"R",3750,"R",2074791,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4503249,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",364207,"R",127321,"R",0,"A",,"R",0,"R",4994777,"R",1910706,"R",856910,"R",0,"R",0,"R",0,"R",0,"R",2212573,"R",1053486,"R",211173,"R",156862,"R",274454,"R",19877,"R",0,"R",0,"R",0,"A",,"A",,"R",0,"R",0,"R",4608906,"R",2087135,"R",71194,"R",40934,"R",0,"R",0,"R",2409643,"A",,"A",,-2,"R",0,"R",4994777,"R",3241935,"R",5278741,"R",695389,"R",734094,"R",4608906
103741,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",562456,"R",29622,"R",30635,"R",30635,"R",0,"R",30555,"R",653268,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",925786,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",68109,"A",,"A",,"R",173929,"R",1167824,"R",859547,"R",257748,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",52647,"R",44465,"R",153227,"R",55385,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",1065421,"R",357598,"R",65084,"R",345879,"R",11703,"R",0,"R",285157,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103893,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",3231163,"R",85200,"R",79599,"Z",0,"R",79599,"R",36221,"R",3432183,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",7711660,"R",3316363,"Z",0,"R",3316363,"R",79599,"Z",0,"Z",0,"Z",0,"R",79599,"R",36221,"Z",0,"Z",0,"Z",0,"A",,"R",152113,"R",11295956,"R",4124621,"R",2593777,"Z",0,"Z",0,"Z",0,"Z",0,"R",294098,"R",201955,"R",2529277,"R",996004,"R",1816049,"R",225529,"R",0,"Z",0,"R",0,"A",,"A",,"R",0,"R",0,"R",8764045,"R",4017265,"R",666576,"R",362925,"R",246912,"Z",0,"R",3470367,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103909,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1743085,"R",45000,"R",263906,"Z",0,"R",263906,"R",14887,"R",2066878,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",7169515,"R",1788085,"Z",0,"R",1788085,"R",263906,"Z",0,"Z",0,"Z",0,"R",263906,"R",14888,"Z",0,"Z",0,"Z",0,"A",,"R",126075,"R",9362469,"R",4744292,"R",2786367,"Z",0,"Z",0,"Z",0,"Z",0,"R",255335,"R",157521,"R",2204343,"R",682918,"R",1417291,"R",187850,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",0,"R",0,"R",8621261,"R",3814656,"R",571817,"R",512781,"R",344528,"Z",0,"R",3377479,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103927,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1402529,"R",32325,"R",4050,"Z",0,"R",4050,"R",5800,"R",1444704,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"Z",0,"Z",0,"R",0,"R",0,"R",0,"R",2805974,"R",1434854,"Z",0,"R",1434854,"R",4050,"Z",0,"Z",0,"Z",0,"R",4050,"R",5800,"Z",0,"Z",0,"Z",0,"A",,"R",58021,"R",4308699,"R",1986695,"R",963790,"Z",0,"Z",0,"Z",0,"Z",0,"R",209853,"R",74750,"R",1320292,"R",449158,"R",931171,"R",225676,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",0,"R",0,"R",4448011,"R",1713374,"R",285177,"R",201187,"R",341862,"Z",0,"R",1906411,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103954,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",186780,"R",4087,"R",10213,"R",0,"R",10213,"R",1522,"R",202602,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",479296,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",343,"R",49798,"A",,"A",,"R",0,"R",529437,"R",70659,"R",70659,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",38456,"R",38456,"R",222193,"R",125000,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",331308,"R",234115,"R",0,"R",0,"R",0,"R",0,"R",97193,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
103963,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2165892,"R",57676,"R",0,"R",0,"R",0,"R",0,"R",2223568,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9532182,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"R",11219,"R",9543401,"R",4000039,"R",1901082,"R",0,"R",0,"R",0,"R",0,"R",578148,"R",394244,"R",533877,"R",358530,"R",653332,"R",439618,"A",,"A",,"R",0,"A",,"A",,"R",2443303,"R",0,"R",8208699,"R",3093474,"R",649864,"R",795656,"R",51741,"R",121,"R",3617843,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
