UNITID,XF3A01,F3A01,XF3A01A,F3A01A,XF3A01B,F3A01B,XF3A01C,F3A01C,XF3A02,F3A02,XF3A02A,F3A02A,XF3A03,F3A03,XF3A04,F3A04,XF3A05,F3A05,XF3A06,F3A06,XF3A07,F3A07,XF3A08,F3A08,XF3A09,F3A09,XF3A10,F3A10,XF3A11,F3A11,XF3A12,F3A12,XF3B01,F3B01,XF3B02,F3B02,XF3B03,F3B03,XF3B04,F3B04,XF3B05,F3B05,XF3B06,F3B06,XF3B07,F3B07,XF3B08,F3B08,XF3C01,F3C01,XF3C02,F3C02,XF3C03,F3C03,XF3C03A,F3C03A,XF3C03B,F3C03B,XF3C04,F3C04,XF3C05,F3C05,XF3C06,F3C06,XF3C07,F3C07,XF3C08,F3C08,XF3C12,F3C12,XF3C121,F3C121,XF3C122,F3C122,XF3C13,F3C13,XF3C131,F3C131,XF3C132,F3C132,XF3C14,F3C14,XF3C141,F3C141,XF3C142,F3C142,XF3C15,F3C15,XF3C151,F3C151,XF3C152,F3C152,XF3C16,F3C16,XF3C161,F3C161,XF3C162,F3C162,XF3C17,F3C17,XF3C171,F3C171,XF3C172,F3C172,XF3D01,F3D01,XF3D02,F3D02,XF3D02A,F3D02A,XF3D02B,F3D02B,XF3D03,F3D03,XF3D03A,F3D03A,XF3D03B,F3D03B,XF3D03C,F3D03C,XF3D03D,F3D03D,XF3D04,F3D04,XF3D05,F3D05,XF3D06,F3D06,XF3D07,F3D07,XF3D12,F3D12,XF3D08,F3D08,XF3D09,F3D09,XF3E011,F3E011,XF3E012,F3E012,XF3E02A1,F3E02A1,XF3E02A2,F3E02A2,XF3E02B1,F3E02B1,XF3E02B2,F3E02B2,XF3E03A1,F3E03A1,XF3E03A2,F3E03A2,XF3E03B1,F3E03B1,XF3E03B2,F3E03B2,XF3E03C1,F3E03C1,XF3E03C2,F3E03C2,XF3E041,F3E041,XF3E042,F3E042,XF3E051,F3E051,XF3E101,F3E101,XF3E102,F3E102,XF3E061,F3E061,XF3E062,F3E062,XF3E071,F3E071,XF3E072,F3E072,XF3E073,F3E073,XF3E074,F3E074,XF3E075,F3E075,XF3E076,F3E076,XF3E077,F3E077,XF3F01,F3F01,XF3F02,F3F02,F3F03,XF3G01,F3G01,XF3G02,F3G02,XF3G03,F3G03,XF3G04,F3G04,XF3G05,F3G05,XF3G06,F3G06,XF3G07,F3G07   
443298,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",282451,"R",18308,"R",0,"R",0,"R",0,"R",0,"R",300759,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",377163,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",96000,"A",,"A",,"R",0,"R",473163,"R",104510,"R",96000,"R",0,"R",0,"R",3000,"R",0,"R",31000,"R",30000,"R",10000,"R",8000,"R",81000,"R",29000,"A",,"A",,"R",0,"A",,"A",,"R",0,"R",0,"R",229510,"R",163000,"R",9000,"R",11000,"R",3500,"R",15000,"R",28010,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
443331,"R",175376897,"R",0,"R",44703908,"R",7500,"R",145498633,"R",33000000,"R",29878264,"R",175376897,"R",0,"R",73333196,"R",21028909,"R",9740497,"R",4272341,"R",108374943,"R",63671035,"R",44703908,"R",401402279,"C",271100329,"R",0,"C",130301950,"R",-120356599,"C",19932913,"R",0,"R",29878264,"R",21208870,"R",991482,"R",11968676,"R",11968676,"Z",0,"R",9059511,"R",43228539,"R",9059511,"R",0,"R",9059511,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9059511,"R",9059511,"R",0,"R",344695507,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",480676,"R",0,"R",0,"R",0,"R",57397,"R",345233580,"R",106787680,"R",60957875,"Z",0,"Z",0,"Z",0,"Z",0,"R",11461971,"R",7100737,"R",6949484,"R",4852245,"R",84742101,"R",41927731,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",0,"R",0,"R",209941236,"R",114838588,"R",6720942,"R",17865680,"R",4398722,"R",657978,"R",65459326,"A",,"A",,-2,"R",132121321,"R",401402279,"R",29878264,"R",175376897,"R",-14833141,"R",33000000,"C",271100329
443377,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",301019,"R",12758,"R",360640,"R",352390,"R",8250,"R",0,"R",674417,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1386644,"R",20866,"R",0,"R",20866,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1145,"R",3104,"R",0,"A",,"R",20,"R",1411779,"R",640099,"R",433112,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",51660,"R",36168,"R",910662,"R",161495,"R",0,"R",0,"R",0,"A",,"A",,"R",0,"R",0,"R",1602421,"R",630775,"R",0,"R",159098,"R",42102,"R",0,"R",770446,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
443410,"R",21435249,"R",0,"R",3781596,"R",0,"R",11392478,"R",0,"R",10042771,"R",21435249,"R",0,"R",838897,"R",1220594,"R",741597,"R",8112946,"R",10914034,"R",7132438,"R",3781596,"R",37238137,"R",36250362,"R",0,"R",987775,"R",0,"R",9054996,"R",0,"R",10042771,"R",1287885,"R",211291,"R",1524830,"R",1181317,"R",343513,"R",3743761,"R",6767767,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",31844042,"R",480975,"R",0,"R",480975,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",15974,"R",2466,"R",1599142,"R",0,"R",3295538,"R",37238137,"R",11860783,"R",10333156,"R",0,"R",0,"R",205193,"R",73900,"R",157757,"R",71128,"R",1827446,"R",1562043,"R",13969374,"R",10060937,"R",2186649,"R",436348,"R",0,"R",0,"R",0,"R",6043160,"R",485541,"R",36250362,"R",23023053,"R",3050484,"R",5392313,"R",679139,"R",0,"R",4105373,"R",321992,"R",0, 3,"R",1309767,"R",37238137,"R",10042771,"R",21435249,"R",6261175,"R",0,"R",36250362
443599,"R",7252051,"R",0,"R",128139,"R",0,"R",855094,"R",0,"R",6396957,"R",7252051,"R",0,"R",0,"R",476888,"R",0,"R",0,"R",476888,"R",348749,"R",128139,"R",9055868,"R",6293161,"R",-23635,"R",2739072,"R",0,"R",3387838,"R",270047,"R",6396957,"R",1920918,"R",51128,"R",35573,"R",35573,"Z",0,"Z",0,"R",2007619,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",9054564,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1304,"R",0,"R",0,"R",0,"R",0,"R",9055868,"R",1643577,"R",1071985,"R",10045,"R",0,"R",0,"Z",0,"R",1545438,"R",985215,"R",1545438,"R",985215,"R",1545438,"R",985215,"R",0,"R",0,"R",0,"R",0,"R",0,"R",3225,"R",0,"R",6293161,"R",4027630,"R",0,"R",16203,"R",18663,"R",0,"R",2230665,"R",484199,"R",149116, 3,"R",9753247,"R",9055868,"R",6396957,"R",7252051,"R",6268818,"R",0,"R",6293161
443632,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",519808,"R",154319,"R",0,"R",0,"R",0,"R",12155,"R",686282,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",2250998,"R",640783,"R",0,"R",640783,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"A",,"R",59,"R",2891840,"R",279524,"R",250277,"R",0,"R",0,"R",0,"R",0,"R",25374,"R",22719,"R",259175,"R",153251,"R",279995,"R",162139,"A",,"A",,"R",0,"A",,"A",,"R",1223046,"R",51057,"R",2067114,"R",639443,"R",74724,"R",389058,"R",34179,"R",2194,"R",927516,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
443641,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",372978,"Z",0,"Z",0,"Z",0,"Z",0,"R",18000,"R",390978,"R",18000,"R",0,"R",18000,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",18000,"R",18000,"R",0,"R",1394969,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",94810,"A",,"A",,"R",0,"R",1489779,"R",581785,"R",262738,"Z",0,"Z",0,"Z",0,"Z",0,"R",139909,"R",128186,"R",128418,"R",117658,"R",252954,"R",95371,"A",,"A",,"Z",0,"A",,"A",,"R",1536650,"R",0,"R",2639716,"R",603953,"R",55232,"R",106933,"R",42562,"Z",0,"R",1831036,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
443650,"R",233957,"R",15817,"R",167929,"R",0,"R",369133,"R",0,"R",-135176,"R",233957,"R",0,"R",1101154,"R",579377,"R",0,"R",0,"R",1680531,"R",1512602,"R",167929,"R",5291908,"R",4731254,"R",0,"R",560654,"R",-662900,"R",-32930,"R",0,"R",-135176,"R",1785911,"R",14500,"R",236360,"R",236360,"R",0,"R",0,"R",2036771,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4679924,"R",553294,"R",0,"R",553294,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",4798,"R",7486,"R",0,"A",,"R",46406,"R",5291908,"R",2645185,"R",1012787,"R",0,"R",0,"R",0,"R",0,"R",525078,"R",267932,"R",315509,"R",160793,"R",346293,"R",167018,"R",0,"R",0,"R",0,"A",,"A",,"R",899189,"R",0,"R",4731254,"R",1608530,"R",331464,"R",1251907,"R",167586,"R",0,"R",1371767,"R",-1117000,"R",165665, 1,"R",560654,"R",5291908,"R",-135176,"R",233957,"R",-3031050,"R",0,"R",4731254
443669,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",370902,"Z",0,"Z",0,"Z",0,"Z",0,"R",16000,"R",386902,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",1253216,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",16003,"A",,"A",,"R",20913,"R",1290132,"R",391502,"R",267619,"R",0,"Z",0,"R",0,"Z",0,"R",320464,"R",0,"R",419567,"R",219156,"R",138207,"R",0,"A",,"A",,"R",0,"A",,"A",,"R",156260,"R",119012,"R",1426000,"R",605787,"R",45709,"R",320464,"R",18369,"R",0,"R",435671,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
443696,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",86653,"R",9628,"R",0,"R",0,"R",0,"R",0,"R",96281,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",197946,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"A",,"R",0,"R",197946,"R",58773,"R",23509,"Z",0,"Z",0,"Z",0,"Z",0,"R",29638,"R",29638,"R",277127,"R",110851,"R",58040,"R",23216,"Z",0,"Z",0,"Z",0,"A",,"A",,"R",0,"R",0,"R",423578,"R",187214,"R",3564,"R",123754,"R",8522,"Z",0,"R",100524,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",
